artist,song
Whiskeytown,houses on the hill
Pearl Jam,come back
Zayn Malik,pillowtalk
The Monkees,tear drop city
Marillion,king
Widespread Panic,conrad
Yello,i...i'm in love
Aerosmith,prelude to joanie
UB40,friendly fire
Ufo,you and me
Doors,crossroads
Lucky Dube,prisoner
Gary Numan,emotion
Eric Clapton,early in the morning
Judds,working in the coal mine
The Temptations,gonna keep on tryin' till i win your love
Olly Murs,seasons
Tina Turner,lay it down
John Prine,unwed fathers
Chris Brown,movie
Nitty Gritty Dirt Band,slim carter
Judas Priest,desert plains
Christmas Songs,(it must've been ol') santa claus
Arrogant Worms,boy band
Lloyd Cole,she's a girl and i'm a man
Cheap Trick,it's up to you
Lynyrd Skynyrd,the last rebel
Talking Heads,wild wild life
Justin Timberlake,that girl
Deep Purple,lick it up
Paul McCartney,if you wanna
Depeche Mode,all that's mine
Il Divo,wasted time
Aerosmith,nobody's fault
Beach Boys,leaving this town
Devo,mr. b's ballroom
Europe,treated bad again
Unkle,glow
J Cole,how high
Ozzy Osbourne,jack's land
Pet Shop Boys,jack the lad
U. D. O.,lovemachine
Green Day,scattered
Johnny Cash,always on my mind
Nightwish,eva
Bob Dylan,cocaine blues
The Beatles,julia
Andrea Bocelli,voglio restare cosi
Nicki Minaj,we miss you
King Diamond,welcome home
Prince,dream factory
Foo Fighters,see you
Judas Priest,never satisfied
Journey,karma
Offspring,i wanna be sedated
Boney M.,heart of gold
The Script,if you could see me now
Vince Gill,the rock of your love
Mariah Carey,honey
Kenny Chesney,i will stand
Marillion,hope for the future
R. Kelly,break up (thats all we do)
Marilyn Manson,apple of sodom
Ween,ocean man
George Strait,all of me (loves all of you)
Don Henley,shakey ground
Kiss,hooligan
Justin Timberlake,better not together
Rush,freewill
Hillsong,can't stop praising
Foreigner,the damage is done
Oscar Hammerstein,poor jud is daid
Slayer,final six
Yazoo,situation
Ray Boltz,break the yoke
Iron Maiden,fortunes of war
Ariana Grande,you're my only shawty
Veruca Salt,perfect love
NOFX,germ free adolescents
Perry Como,deep in your heart
Isley Brothers,live it up
Eric Clapton,little wing
Michael W. Smith,save me
King Diamond,nuns have no fun
Louis Armstrong,my one and only love
The Temptations,a taste of honey
Point Of Grace,my heart is set on you
Frankie Goes To Hollywood,born to run
King Diamond,spare this life
Outkast,love in war
Cyndi Lauper,the tide is turning
Black Sabbath,methademic
Judas Priest,thunder road
Red Hot Chili Peppers,let's make evil
Xzibit,killer's remorse
Phish,all of these dreams
Hollies,if i needed someone
Lil Wayne,gunwalk
Kyla,now and forever
Kate Bush,and so is love
Europe,america
Quicksand,it would be cooler if you did
LL Cool J,i can give you more
George Jones,a bed for baby jesus
Boney M.,zion's daughter
Dewa 19,kasidah cinta
Dusty Springfield,guess who
Deep Purple,money talks
Wanda Jackson,"let me go, lover"
David Allan Coe,snowblind friend
David Allan Coe,now i lay me down to cheat
W.A.S.P.,sister sadie (and the black habits)
Perry Como,behind closed doors
Indigo Girls,jonas and ezekial
Richard Marx,chains around my heart
Soundgarden,loud love
Chuck Berry,no money down
Grateful Dead,jack-a-roe
Randy Travis,everywhere we go
Judas Priest,all the way
Cheap Trick,four letter word
Gino Vannelli,the river must flow
Whitesnake,slow poke music
Scorpions,action
Adam Sandler,my little chicken
King Crimson,the night watch
Kris Kristofferson,billy dee
Lloyd Cole,patience
David Allan Coe,this bottle (in my hand)
Queen,in my defence
Ella Fitzgerald,alexander's ragtime band
Clash,white riot
Billie Holiday,can't help lovin' dat man
Alison Krauss,last love letter
Marianne Faithfull,nobody's fault
Bon Jovi,every beat of my heart
Howard Jones,bounce right back
Marilyn Manson,"eat me, drink me"
Arlo Guthrie,when a soldier makes it home
Bing Crosby,in a little spanish town ('twas on a night like this)
Judas Priest,the rage
Rolling Stones,everything is turning to gold
Genesis,fading lights
Overkill,bare bones
Status Quo,need your love
Judy Garland,bidin' my time
Usher,best thing
Verve,where the geese go
Bonnie Raitt,too soon to tell
Chris Brown,i'll be right here
Hillsong,let us adore
Matt Monro,yesterday when i was young
Waylon Jennings,it's alright
Styx,number one
Black Sabbath,live forever
W.A.S.P.,helldorado
Annie,you're never fully dressed without a smile
Beach Boys,had to phone ya
Lynyrd Skynyrd,edge of forever
Ray Boltz,take up your cross
Ella Fitzgerald,come rain or come shine
Verve,velvet morning
Wilson Pickett,don't fight it
Ray Charles,alexander's ragtime band
Bette Midler,p.s. i love you
Randy Travis,the gift
"Harry Connick, Jr.",just like me
Judds,bye bye baby blues
Richard Marx,remember manhattan
Vince Gill,til the season comes around again
Kinks,denmark street
David Bowie,everything's alright
Mary Black,vanities
Incubus,friends and lovers
Sia,never gonna leave me
John Legend,it's over
Lil Wayne,boom
Alabama,moonlight lounge
Misfits,return of the fly
Cheap Trick,take me i'm yours
Black Sabbath,megalomania
Elton John,i saw her standing there
Alabama,fantasy
Olivia Newton-John,if love is real
U2,exit
Usher,simple things
Wanda Jackson,i go to the rock
Scorpions,evening wind
Nazareth,helpless
Warren Zevon,suzie lightning
Elvis Costello,god's comic
Our Lady Peace,picture
David Bowie,1984
Kris Kristofferson,hoola hoop
Boney M.,el lute
Hillsong,all praises to the king
Marilyn Manson,strange same dogma
Scorpions,lust or love
Dolly Parton,great balls of fire
King Diamond,aftermath
Marillion,the web
Will Smith,switch
Air Supply,white christmas
Nick Cave,hallelujah
U2,the saints are coming
The Broadways,the kitchen floor
Crowded House,time immemorial
Patti Smith,upright come
Nick Cave,fifteen feet of pure white snow
Offspring,rise and fall
Aerosmith,helter skelter
System Of A Down,holy mountains
Chicago,love me tomorrow
Fatboy Slim,push and shove
Indiana Bible College,testimony
Deep Purple,hallelujah
America,she's a runaway
Lana Del Rey,old money
Arrogant Worms,proud t o be a banker
Status Quo,end of the line
Poison,the last breath
NOFX,seeing double at the triple rock
Marianne Faithfull,love in the afternoon
Kelly Family,cover the road
Pearl Jam,sometimes
Etta James,the blues is my buisness
Roxette,looking for jane
Erik Santos,parting time
Cyndi Lauper,this kind of love
Nine Inch Nails,ringfinger
Elton John,chapel of love
Megadeth,the doctor is calling
Religious Music,crucified with christ
Pearl Jam,release
Nat King Cole,smile
John Mellencamp,paper in fire
Hank Williams Jr.,devil in the bottle
Styx,castle walls
Michael W. Smith,so great
Face To Face,promises
Kris Kristofferson,third world warrior
Venom,sacrifice
Kirsty Maccoll,fairytale of new york
ABBA,dum dum diddle
David Guetta,money
Jim Croce,recently
Dave Matthews Band,sugar will
The Beatles,money
Beach Boys,"fun, fun, fun"
Steely Dan,let george do it
Reo Speedwagon,drop it
Barbra Streisand,i don't break easily
Quasi,genetic science
Boney M.,goodbye my friend
Cher,dov'e l'amore
Beach Boys,hot fun in the summertime
Queen,i can't live with you
INXS,baby don't cry
Hanson,misery
Bon Jovi,living in sin
Christina Aguilera,fell for the enemy
Dean Martin,arrivederci roma
Hank Snow,down where the dark waters flow
The Beatles,mrs. robinson
Tom T. Hall,i flew over our house last night
Cake,the winter
Pitbull,timber
Thin Lizzy,half caste
Great Big Sea,cod liver oil
Zox,eventually
Eurythmics,shame
Foo Fighters,summer's end
Amy Grant,shovel in hand
Dan Fogelberg,part of the plan
Faith Hill,this kiss
Lorde,400 lux
Iron Maiden,these colours don't run
Michael Bolton,what you won't do for love
Doris Day,i may be wrong (but i think you're wonderful)
You Am I,come home wit' me
Deep Purple,anthem
Hank Williams Jr.,how long will you keep coming back to me
Guided By Voices,old battery
Queen,barcelona
Erasure,make me smile (come up and see me) (edit)
Bon Jovi,mystery train
Scorpions,media overkill
Alan Parsons Project,damned if i do
Bon Jovi,i get a rush
Dusty Springfield,beautiful soul
Willie Nelson,and so will you my love
Eagles,most of us are sad
Megadeth,insomnia
Tom T. Hall,the old side of town
Squeeze,farfisa beat
Ella Fitzgerald,all of me
Ingrid Michaelson,you got me
Lionel Richie,i love you
Kenny Chesney,because of your love
Coldplay,such a rush
Marilyn Manson,born again
Face To Face,blister in the sun
One Direction,na na na
Queens Of The Stone Age,i sat by the ocean
Jennifer Lopez,girls
Peter Gabriel,humdrum
Our Lady Peace,shaking
Grateful Dead,mindbender
Neil Sedaka,cardboard california
Vince Gill,for the last time
Queensryche,i dream in infrared
Fleetwood Mac,for your love
'n Sync,selfish
Neil Young,born to run
Megadeth,the hardest part of letting go... sealed with a kiss
Beautiful South,mr. obsession
Incubus,follow
Korn,divine
Iron Maiden,the assassin
Europe,the final countdown
Donna Summer,in another place and time
Waterboys,the big music
Chaka Khan,to sir with love
Wu-Tang Clan,visionz
Green Day,know your enemy
Michael Bolton,everytime
Doors,crawling king snake
Kate Bush,moving
Grand Funk Railroad,someone
Keith Urban,lovin' on the side
Kenny Loggins,the more we try
Billy Joel,got to begin again
Randy Travis,price to pay
Noa,lavandeira da noite
Ultravox,one small day
Scorpions,does anyone know
Cake,sheep go to heaven
Patti Smith,easter
Bruce Springsteen,57 channels
Kelly Clarkson,fading
Green Day,nice guys finish last
Moody Blues,here comes the weekend
Moody Blues,and my baby's gone
Nick Drake,one of these things first
Neil Diamond,don't go away mad
Vertical Horizon,when you cry
Noa,ilanot
Ne-Yo,she got her own
King Crimson,dinosaur
Leonard Cohen,nightingale
W.A.S.P.,king of sodom and gomorrah
The Script,fall for anything
Lou Reed,the bells
Electric Light Orchestra,showdown
Don Henley,nobody's business
Erasure,i bet you're mad at me
Dewa 19,cemburu
Arlo Guthrie,manzanillo bay
Paul McCartney,check my machine
Yngwie Malmsteen,the bogeyman
Don Moen,he never sleeps
Tim McGraw,it doesn't get any countrier than this
Cliff Richard,blueberry hill
Erik Santos,next in line
Crowded House,world where you live
Linkin Park,one step at a time
Eminem,it's ok
Electric Light Orchestra,21st century man
Gary Numan,listen to my voice
Chaka Khan,betcha i
Pet Shop Boys,it's a sin
Dean Martin,because you're mine
UB40,so destructive
R. Kelly,come to daddy
Elvis Costello,i'm your toy
Bon Jovi,i don't want to live forever
Jennifer Lopez,all my love
Quincy Punx,i hate everyone
Pretenders,thumbelina
Rush,anthem
Hank Williams,a stranger in the night
Justin Bieber,home to mama
Quarterflash,shane
Marillion,hotel hobbies
Luther Vandross,for you to love
Bon Jovi,america the beautiful
Weezer,smile
Bob Seger,are you
Carly Simon,in honor of you (george)
High School Musical,scream
Alabama,christmas in your arms
George Harrison,my sweet lord
Emmylou Harris,guitar town
Lil Wayne,gossip
Elton John,i am your robot
Cyndi Lauper,searching
Gary Numan,me! i disconnect from you
Coldplay,careful where you stand
Phil Collins,doesn't anybody stay together anymore
Moody Blues,forever now
Israel Houghton,here i am to worship
Thin Lizzy,emerald
Lea Salonga,even if
Quincy Punx,stupid people
Bruce Springsteen,highway patrolman
Faith Hill,like we never loved at all
Alphaville,heartbreaker
Inside Out,the stalker song
Van Morrison,he ain't give you none
Dan Fogelberg,the river
U2,bad
Donna Summer,i got your love
James Taylor,ananas
John Waite,isn't it time
Status Quo,down the dustpipe
Erasure,elevation
Hank Snow,just waiting for you
Nine Inch Nails,in two
Hank Williams,i'm so tired of it all
Bonnie Raitt,i sho do
Iron Maiden,moonchild
HIM,passion's killing floor
Elvis Presley,happy ending
John Waite,midnight rendezvous
John Waite,world in a bottle
Leo Sayer,fool for your love
Jimmy Buffett,cowboy in the jungle
James Taylor,up er mei
Westlife,reach out
Jason Mraz,future boy (live)
Selah,"wonderful, merciful savior"
Chris Brown,liquor
Arrogant Worms,horizon
Quarterflash,one more round to go
Red Hot Chili Peppers,around the world
Face To Face,can't change the world
Owl City,28-jan-86
Taylor Swift,silent night
Justin Bieber,fa la la
Bee Gees,evolution
Harry Belafonte,mary's boy child
Dusty Springfield,don't you know
Creedence Clearwater Revival,run through the jungle
Outkast,the way you move
Rainbow,eyes of the world
Eddie Cochran,take my hand
Tim Buckley,devil eyes
Air Supply,come to me
Air Supply,goodbye
Celine Dion,i drove all night
Chris Rea,smile
Oasis,falling down
Lou Reed,fly into the sun
Wyclef Jean,party like i party
Cake,friend is a four letter word
Christy Moore,the night visit
Kylie Minogue,ocean blue
Katy Perry,california girls
Johnny Cash,danny boy
One Direction,steal my girl
George Michael,amazing
Weird Al Yankovic,gotta boogie
Bonnie Raitt,ain't gonna let you go
Ozzy Osbourne,don't blame me
O.A.R.,unbroken chain
Kenny Loggins,will of the wind
Dewa 19,selatan jakarta
Opeth,heir apparant
Uncle Kracker,nuthin' changes
Veruca Salt,sound of the bell
Westlife,don't say it's too late
Kate Bush,the long and winding road
Dean Martin,i met a girl
Carly Simon,i only have eyes for you
Imagine Dragons,ready aim fire
Lana Del Rey,yayo
David Bowie,in the heat of the morning
Stone Roses,made of stone
Gary Numan,dark sunday
INXS,underneath the colours
Faces,stone
Dan Fogelberg,better change
Devo,worried man
Neil Young,alabama
Les Miserables,the wedding chorale
Glen Campbell,today is mine
Beach Boys,a casual look
O.A.R.,war song
Bon Jovi,lay your hands on me
Leann Rimes,i do now
Free,child
Pet Shop Boys,this must be the place i waited years to leave
XTC,my bird performs
OneRepublic,ordinary human
Lil Wayne,action
Great Big Sea,stumbling in
Perry Como,all through the night
Keith Green,jesus is lord of all
Usher,prayer for you
XTC,buzzcity talking
Pogues,hell's ditch
Tom Jones,seasons
Alice In Chains,brother
Jason Mraz,i never knew you
The Jam,thick as thieves
LL Cool J,so sick
Def Leppard,ride into the sun
Tragically Hip,streets ahead
"Harry Connick, Jr.",don't get around much anymore
Snoop Dogg,from long beach 2 brick city
Death,story to tell
Engelbert Humperdinck,when there's no you
Indigo Girls,blister in the sun
UB40,the buzz feeling
Owl City,captains and cruiseships
Neil Sedaka,moon of gold
Doors,american night
Iggy Pop,sea of love
Katy Perry,hook up
Proclaimers,after you're gone
Regine Velasquez,kastilyong buhagin
Young Jeezy,that's how ya feel
Dan Fogelberg,high country snows
Journey,remember me
Oliver,one of those nights
Lou Reed,dime store mystery
Notorious B.I.G.,mi casa
Marilyn Manson,disassociative
Natalie Cole,mr. melody
Children,the beehive and the anthill
Manowar,king
Wet Wet Wet,lonely girl
Glee,dark side
Ed Sheeran,i see fire
Cher,more than you know
Rihanna,love the way you lie remix
Regine Velasquez,christmas wish
Hillsong United,closer than you know
Judds,freedom
Patti Smith,gung ho
INXS,suicide blonde
Extreme,big boys don't cry
Lil Wayne,grown man
Demi Lovato,in case
Bon Jovi,it's my life
David Allan Coe,marijuanaville
Zeromancer,teenage recoil
Reo Speedwagon,building the bridge
Yes,yours is no disgrace
Frank Zappa,charlie's enormous mouth
Cher,i'd rather believe in you
Josh Groban,for always
Uriah Heep,the shadows and the wind
Old 97's,eyes for you
Deep Purple,the orange juice song
The Beatles,dizzy miss lizzy
Katy Perry,who am i living for?
Avril Lavigne,everybody hurts
Grateful Dead,i need a miracle
Boney M.,ride to agadir
Rod Stewart,live the life
Procol Harum,juicy john pink
Primus,the family and the fishing net
Styx,unfinished song
Cher,it's the little things
Vertical Horizon,candyman
Migos,story i tell
Rolling Stones,heartbreaker
Alphaville,change the world
Pat Benatar,treat me right
J Cole,heavy
George Strait,baby's gotten good at goodbye
Leonard Cohen,in my secret life
Britney Spears,ooh ooh baby
Tim McGraw,it's your world
Robbie Williams,mr. bojangles
Bonnie Raitt,crime of passion
Venom,skool daze
Adele,my same
Lady Gaga,telephone
Crowded House,it's only natural
Whitesnake,you're so fine
Vonda Shepard,cross to bear
Jennifer Lopez,hiciste
Iron Maiden,the fugitive
Kenny Loggins,nobody's fool
Ne-Yo,say it
America,close to the wind
Point Of Grace,how great our joy
Bonnie Raitt,valley of pain
David Allan Coe,x's and o's (kisses and hugs)
Sia,california dreamin'
Kenny Chesney,old bird dog
John Waite,touch
Lea Salonga,reaching out
Korn,sing sorrow
Michael Jackson,i like you the way you are (don't change your love)
Iggy Pop,innocent world
Air Supply,goodnight
Kylie Minogue,love is on the line
Leo Sayer,i can't stop loving you
Justin Timberlake,losing my way
Gary Valenciano,di na natuto
Prince,get off
Aerosmith,fallen angel
Wang Chung,the world in which we live
Kiss,hell or hallelujah
Glee,dancing with myself
Morrissey,driving your girlfriend home
Heart,sweet darlin'
Bob Marley,one love
Quincy Jones,is it love that we're missin'
Horrible Histories,literally: the viking song
Judy Garland,i am loved
Zebrahead,born to lose
Natalie Cole,mona lisa
XTC,some lovely
Elton John,hey ahab
Gary Numan,the pleasure skin
Cat Stevens,home
Yes,money
Tears For Fears,quiet ones
Isley Brothers,you're all i need
U2,out of control
Luther Vandross,when i need you
Wanda Jackson,it doesn't matter anymore
U2,gone
Miley Cyrus,stand by me
Billie Holiday,now they call it swing
Snoop Dogg,freaky tales
Quietdrive,maybe misery
Bob Dylan,"if you gotta go, go now"
Ian Hunter,you stepped into my dreams
Kinks,baby face
Judas Priest,don't have to be old to be wise
Phineas And Ferb,what does he want?
Air Supply,just another woman
David Bowie,diamond dogs
Fall Out Boy,tiffany blews
Erasure,rescue me
Overkill,use your head
Everclear,chemical smile
Lea Salonga,journey to the past
Dan Fogelberg,serengeti moon
Veruca Salt,earthcrosser
Hank Snow,christmas roses
Mary Black,ellis island
Lauryn Hill,"every ghetto, every city"
Clash,hateful
Verve,6 o'clock
Chris Brown,can't say no
Christina Aguilera,lift me up
Zwan,ride a black swan
Emmylou Harris,he was mine
Tom Waits,on the nickel
Waylon Jennings,jack-a-diamonds
Gary Numan,fold
Eminem,keep talkin
Chris Rea,bombollini
America,sleeper train
Randy Travis,honky-tonk moon
Janis Joplin,kozmic blues ( in album woodstock )
Jennifer Lopez,cherry pie
Kid Rock,rock 'n' roll pain train
Black Sabbath,dirty women
Kid Rock,classic rock
Phineas And Ferb,intimate get together
